Timestamp,Value
1431579826,681
1431580027,610
1431582942,558
1431583443,695
1431591178,662
1431591231,581
1431592488,231
1431594425,626
1431594801,487
1431597341,436
1431597612,229
1431598231,471
1431603574,283
1431604555,613
1431651727,654
1431656978,612
1431660135,476
1431662490,362
1431664625,231
1431666898,680
1431667142,433
1431674691,13
1431675509,2002
1431676725,199
1431677555,301
1431677656,797
1431678439,272
1431680644,708
1431683063,683
1431683640,663
1431684252,9
1431690836,345
1431741471,672
1431770392,1725
1431785781,42
1431828026,664
1431837200,225
1431840894,252
1431848997,252
1431911550,692
1431915865,558
1431918270,643
1431920781,641
1431922022,707
1431922945,525
1431924554,1045
1431925096,507
1431926779,577
1431928037,500
1431929136,178
1431932258,115
1431934827,661
1431934871,628
1431939000,882
1431939351,761
1431939803,454
1431941908,713
1431944310,141
1431997563,645
1432002142,562
1432003981,136
1432005498,635
1432005649,495
1432006144,400
1432008108,619
1432011529,631
1432018594,514
1432018805,626
1432019250,914
1432024011,646
1432024564,571
1432025087,673
1432025122,651
1432033474,5
1432034906,474
1432037361,81
1432083549,671
1432089125,676
1432090074,701
1432091124,649
1432093267,638
1432096039,544
1432098003,697
1432100980,688
1432103884,609
1432104997,649
1432110458,699
1432111892,692
1432112016,1209
1432113311,403
1432113367,654
1432114152,654
1432115204,91
1432119459,487
1432170173,635
1432174471,597
1432179346,531
1432181731,285
1432182238,695
1432182388,542
1432183963,654
1432193838,695
1432194771,664
1432198893,633
1432199078,1181
1432200203,691
1432200500,562
1432201966,619
1432202745,651
1432204884,523
1432206751,700
1432256472,658
1432261013,642
1432263648,636
1432267967,497
1432269968,1235
1432271712,408
1432272700,653
1432277621,231
1432281293,671
1432287434,1360
1432288585,661
1432602151,666
1432607182,556
1432610221,468
1432610249,647
1432614595,905
1432614843,705
1432623247,597
1432628002,647
1432629527,526
1432629931,1641
1432630821,695
1432631188,657
1432634814,579
1432636265,664
1432645691,405
1432648157,673
1432688153,667
1432693876,579
1432695613,693
1432696420,476
1432699981,284
1432702062,1054
1432704311,686
1432705746,356
1432708959,202
1432712749,334
1432717190,1140
1432717251,739
1432718093,634
1432718352,693
1432719220,365
1432720816,614
1432775064,643
1432779683,565
1432780425,584
1432781824,396
1432781912,714
1432782316,680
1432784311,1409
1432788302,786
1432789022,684
1432791198,367
1432791862,293
1432799343,433
1432802532,667
1432803250,690
1432804058,497
1432804658,1069
1432808250,699
1432813802,484
1432866181,566
1432867166,648
1432868673,448
1432869057,686
1432870144,492
1432872681,293
1432873880,521
1432874542,607
1432876478,26
1432878286,416
1432881048,516
1432885531,325
1432887218,660
1432889735,2203
1432890548,770
1432891641,704
1432893218,673
1432894764,703
1432897038,534
1432951256,643
1432969732,143
1433050518,828
1433120365,675
1433125703,689
1433127722,711
1433127830,102
1433128610,655
1433133381,1584
1433134913,583
1433135306,543
1433137730,652
1433138688,657
1433139633,27
1433146917,690
1433148641,693
1433150975,468
1433151401,696
1433153545,634
1433159090,459
1433207059,672
1433210913,774
1433211599,589
1433214391,673
1433214856,631
1433220101,693
1433222114,476
1433223581,634
1433231700,637
1433234688,657
1433235302,1648
1433235879,532
1433237478,975
1433238650,594
1433238664,601
1433247523,174
1433293479,673
1433298676,718
1433300920,688
1433302538,546
1433307013,1189
1433307088,601
1433307182,438
1433314918,520
1433318028,810
1433320957,16
1433322269,619
1433323230,635
1433323685,443
1433325149,671
1433331352,605
1433340635,151
1433379854,675
1433384109,773
1433388461,1453
1433388533,663
1433388997,444
1433390896,278
1433392013,664
1433392682,587
1433393652,476
1433393706,586
1433394203,271
1433403164,231
1433407153,2092
1433407399,593
1433408296,166
1433409441,297
1433409821,623
1433411695,579
1433412315,694
1433415168,668
1433419393,0
1433420835,692
1433466092,676
1433472582,722
1433473188,692
1433473618,433
1433474860,293
1433478597,702
1433479153,678
1433481909,528
1433490781,327
1433493191,423
1433494841,488
1433496368,137
1433500171,31
1433501046,696
1433503251,693
1433540577,1835
1433555841,680
1433725337,676
1433731038,342
1433733237,620
1433734490,425
1433735414,110
1433736679,536
1433736820,281
1433737047,396
1433737276,692
1433737774,647
1433741413,702
1433747936,108
1433751849,612
1433753623,680
1433754197,651
1433756082,220
1433756595,554
1433759329,693
1433760452,463
1433762233,713
1433780947,1283
1433811388,675
1433818703,686
1433819185,612
1433819599,495
1433822582,486
1433823650,281
1433824376,382
1433824967,335
1433831872,67
1433835966,221
1433839251,605
1433841192,679
1433842019,585
1433842510,571
1433843833,415
1433848481,227
1433849742,0
1433904167,723
1433904331,212
1433906634,490
1433906745,695
1433908226,376
1433909542,381
1433909912,497
1433913208,430
1433917222,357
1433917885,426
1433919188,706
1433922319,411
1433924708,334
1433925309,434
1433925762,624
1433926542,0
1433926800,496
1433927197,691
1433929751,600
1433931880,698
1433932704,172
1433935587,667
1433991495,680
1433993942,54
1433994994,758
1433996484,269
1433997550,659
1433998328,679
1433999788,556
1433999793,689
1434000151,644
1434004952,387
1434008378,250
1434009906,1764
1434010495,689
1434011283,700
1434012672,644
1434014199,476
1434016251,572
1434017932,572
1434022662,590
1434070312,678
1434074172,685
1434074870,708
1434077990,673
1434081627,145
1434082096,365
1434083517,676
1434084047,667
1434086597,654
1434090502,380
1434091878,620
1434094841,664
1434096462,638
1434103166,38
1434104668,621
1434107766,646
1434181885,450
1434258319,476
1434333018,693
1434335365,554
1434335624,433
1434337605,621
1434338286,665
1434338344,656
1434343589,12
1434343727,700
1434345572,627
1434347094,542
1434347112,474
1434350713,515
1434351137,672
1434351152,401
1434353535,496
1434357071,424
1434358269,656
1434359003,597
1434359046,332
1434359537,663
1434361154,267
1434416353,644
1434419369,686
1434420340,434
1434421987,537
1434423925,642
1434425108,372
1434428641,498
1434430360,339
1434431024,682
1434432517,589
1434432767,537
1434440788,558
1434443732,614
1434444053,458
1434444856,96
1434445109,693
1434445247,623
1434448185,755
1434455563,321
1434460032,311
1434502993,683
1434505180,676
1434507794,581
1434509870,713
1434509999,639
1434510413,651
1434515583,699
1434517319,390
1434522685,129
1434522725,129
1434525225,154
1434527866,259
1434530422,454
1434530804,286
1434533355,625
1434533386,437
1434534381,590
1434535463,501
1434538088,353
1434538228,554
1434540927,558
1434589268,670
1434591199,409
1434594599,557
1434596536,669
1434597282,430
1434599324,668
1434600669,664
1434603780,678
1434604802,385
1434604976,299
1434605066,657
1434609330,61
1434613417,400
1434614904,343
1434616423,462
1434617052,660
1434617814,390
1434619086,670
1434620548,190
1434621397,594
1434628115,405
1434628274,95
1434675866,679
1434678019,679
1434680891,552
1434682941,683
1434683506,643
1434683782,658
1434686296,285
1434686405,475
1434690744,577
1434691212,436
1434692057,657
1434702749,621
1434703861,656
1434704535,294
1434705870,202
1434706814,602
1434708833,516
1434709785,469
1434765500,679
1434779706,194
1434934302,415
1434934722,681
1434940597,533
1434941056,475
1434942422,700
1434942745,684
1434942779,641
1434942799,639
1434945121,1054
1434947334,692
1434950458,666
1434951157,317
1434951300,373
1434955878,548
1434957281,445
1434958327,544
1434960940,66
1434961101,701
1434961386,240
1434962859,654
1434962978,194
1434964355,351
1434965590,625
1434966980,683
1434969815,636
1435021607,437
1435024689,682
1435026535,558
1435028755,725
1435029044,709
1435029673,603
1435031953,1038
1435032570,582
1435034649,320
1435040466,475
1435042957,654
1435045422,503
1435048107,432
1435049460,593
1435050176,459
1435051100,559
1435053468,413
1435053894,604
1435107814,643
1435108170,405
1435112311,684
1435113875,552
1435114831,644
1435115604,658
1435115618,637
1435118209,598
1435120203,660
1435121250,521
1435128539,154
1435133439,1412
1435135292,453
1435135826,604
1435136267,523
1435137293,630
1435138123,641
1435139067,739
1435139271,630
1435139765,693
1435140261,280
1435141171,675
1435141474,683
1435141476,330
1435194162,642
1435197951,373
1435199110,570
1435202072,676
1435202139,618
1435202513,384
1435203452,609
1435204882,355
1435204930,1060
1435205280,306
1435205342,642
1435209293,380
1435211383,583
1435215862,651
1435220318,685
1435234007,300
1435280555,632
1435280578,432
1435281949,739
1435282667,676
1435285776,564
1435287586,647
1435288357,672
1435291871,508
1435292603,604
1435292658,590
1435295583,455
1435296720,526
1435298146,254
1435301383,697
1435307134,447
1435310224,612
1435310724,86
1435312112,357
1435315520,542
1435539531,628
1435541293,679
1435541679,465
1435548074,618
1435549995,598
1435554958,443
1435555353,536
1435558950,788
1435563494,650
1435565868,710
1435569919,678
1435571818,376
1435578485,692
1435626203,655
1435627911,405
1435633560,691
1435637425,687
1435639272,700
1435640258,713
1435641145,252
1435642362,650
1435647860,715
1435658045,666
1435658725,599
1435662820,505
1435668497,697
